Date,Total Value
2019-09-11,10673502.907233912
2019-09-12,10650923.301282816
2019-09-16,10678515.943462014
2019-09-17,10646436.914529176
2019-09-18,10703949.771593152
2019-09-19,10666415.247759433
2019-09-20,10690939.645785768
2019-09-23,10699481.001756545
2019-09-24,10761053.168534854
2019-09-25,10727685.909452643
2019-09-26,10783608.946618143
2019-09-27,10784967.20516212
2019-10-01,10899459.256444862
2019-10-02,10944403.670554439
2019-10-03,10941173.237819463
2019-10-04,11016477.674335198
2019-10-07,11047040.479324497
2019-10-08,11164449.483240467
2019-10-09,11064514.176963396
2019-10-14,11155281.855776943
2019-10-15,11175322.610018117
2019-10-16,11237127.748726273
2019-10-17,11197700.420421017
2019-10-18,11227254.019798761
2019-10-21,11176055.709565151
2019-10-22,11269663.099184511
2019-10-23,11229930.58704699
2019-10-24,11231949.24998312
2019-10-25,11213509.413891928
2019-10-28,11190713.059770353
2019-10-29,11234737.127538687
2019-10-30,11273700.143798376
2019-10-31,11274870.716597237
2019-11-01,11271554.130340861
2019-11-04,11413394.116992237
2019-11-05,11434992.260531437
2019-11-06,11449792.216838917
2019-11-07,11371462.836319298
2019-11-08,11335199.651276853
2019-11-11,11259765.704226527
2019-11-12,11325866.863149505
2019-11-13,11301826.851971094
2019-11-14,11315231.799689075
2019-11-15,11360263.523578763
2019-11-18,11415769.99153009
2019-11-19,11457975.649037512
2019-11-20,11420712.644095052
2019-11-21,11368851.533878362
2019-11-22,11361472.748642925
2019-11-25,11337973.448442478
2019-11-26,11351742.86474381
2019-11-27,11393283.990235081
2019-11-28,11353639.76226529
2019-11-29,11281493.4459322
2019-12-02,11290547.63118409
2019-12-03,11320745.366999842
2019-12-04,11286947.367042067
2019-12-05,11402634.554040026
2019-12-06,11421828.815504968
2019-12-09,11458519.091101967
2019-12-10,11424412.802633109
2019-12-11,11504988.798753576
2019-12-12,11657213.729501665
2019-12-13,11813094.201166686
2019-12-16,11766122.290860802
2019-12-17,11884035.043931322
2019-12-18,11887908.943850439
2019-12-19,11748716.03469151
2019-12-20,11665033.77534807
2019-12-23,11718869.907292666
2019-12-24,11690712.28880924
2019-12-25,11707796.131927347
2019-12-26,11760735.559732927
2019-12-27,11830633.283654733
2019-12-30,11763543.137348155
2019-12-31,11698608.002992325
2020-01-02,11860849.642193083
2020-01-03,11910003.66188255
2020-01-06,11793384.72137615
2020-01-07,11742422.407318914
2020-01-08,11712747.434152888
2020-01-09,11826848.055866411
2020-01-10,11879830.480637634
2020-01-13,11908243.768628072
2020-01-14,11988217.99931042
2020-01-15,11917937.139098918
2020-01-16,11838794.04191173
2020-01-17,11811326.778312594
2020-01-20,11822797.313222505
2020-01-30,11595655.363357607
2020-01-31,11687363.976056926
2020-02-03,11588132.406737069
2020-02-04,11707425.847785067
2020-02-05,11712952.4770631
2020-02-06,11821641.225596584
2020-02-07,11759231.387003213
2020-02-10,11756214.423045887
2020-02-11,11811450.932282625
2020-02-12,11872121.875706391
2020-02-13,11880925.778677395
2020-02-14,11904927.635227168
2020-02-17,11850902.80103137
2020-02-18,11749855.458784673
2020-02-19,11824209.877180384
2020-02-20,11825876.767045747
2020-02-21,11842420.903627772
2020-02-24,11781642.908227285
2020-02-25,11817249.576208891
2020-02-26,11757032.854041755
2020-02-27,11720978.963079128
2020-03-02,11639413.638499597
2020-03-03,11791823.127650123
2020-03-04,11816436.924942138
2020-03-05,11927072.07501896
2020-03-06,11899137.485070646
2020-03-09,11767603.03845287
2020-03-10,11665106.978794752
2020-03-11,11506212.876108661
2020-03-12,11295173.12354271
2020-03-13,11131921.772033269
2020-03-16,10983203.526444487
2020-03-17,10706356.99723745
2020-03-18,10448596.308188213
2020-03-19,10247470.408053476
2020-03-20,10741174.310586477
2020-03-23,10575421.973464323
2020-03-24,10825358.143608984
2020-03-25,11015866.612099199
2020-03-26,11097502.05625005
2020-03-27,11043099.121565836
2020-03-30,10959405.17335473
2020-03-31,11018425.139658157
2020-04-01,11001324.284899483
2020-04-06,11143670.637706257
2020-04-07,11253845.169316178
2020-04-08,11290566.967849754
2020-04-09,11302002.29465101
2020-04-10,11269903.458132494
2020-04-13,11232633.580679407
2020-04-14,11359111.175968107
2020-04-15,11457598.653967077
2020-04-16,11478508.996158615
2020-04-17,11729890.31464785
2020-04-20,11699241.997342102
2020-04-21,11555069.34803466
2020-04-22,11571073.142666487
2020-04-23,11608609.456188573
2020-04-24,11581611.608468385
2020-04-27,11648230.19186845
2020-04-28,11662898.04219947
2020-04-29,11727582.768170556
2020-04-30,11784278.339782482
2020-05-04,11630165.337237041
2020-05-05,11613907.417566074
2020-05-06,11591178.186807595
2020-05-07,11716702.044394564
2020-05-08,11698741.98495221
2020-05-11,11759289.683839846
2020-05-12,11717905.305988353
2020-05-13,11785749.494488226
2020-05-14,11724951.818542555
2020-05-15,11783334.958557222
2020-05-18,11652587.192097075
2020-05-19,11689007.547883103
2020-05-20,11777905.610481644
2020-05-21,11835340.970975744
2020-05-22,11752036.215691593
2020-05-25,11781979.715158205
2020-05-26,11819175.124786979
2020-05-27,11825201.398333808
2020-05-28,11770224.182676893
2020-05-29,11768788.163066471
2020-06-01,11838959.795713736
2020-06-02,11835954.761027573
2020-06-03,11882526.553899417
2020-06-04,11903310.192565931
2020-06-05,11960748.729319053
2020-06-08,12067669.284246493
2020-06-09,12066898.862674879
2020-06-10,12151467.809425175
2020-06-11,12143518.462785408
2020-06-12,12058454.55041947
2020-06-15,11970366.548889423
2020-06-16,12033360.039276376
2020-06-17,12045383.47194675
2020-06-18,12081309.157537028
2020-06-19,12087558.655672032
2020-06-22,12059655.673306685
2020-06-23,12096093.764007904
2020-06-24,12142237.0090539
2020-06-29,12082515.601315921
2020-06-30,12086993.167064225
2020-07-01,12145073.66124618
2020-07-02,12229386.825287238
2020-07-03,12332288.333370714
2020-07-06,12464555.044783521
2020-07-07,12497221.493340237
2020-07-08,12529911.277047828
2020-07-09,12599486.59788558
2020-07-10,12647804.390918301
2020-07-13,12778430.71971571
2020-07-14,12879338.655956633
2020-07-15,12861148.72499401
2020-07-16,12791740.06062743
2020-07-17,12877095.015056504
2020-07-20,12871299.81174724
2020-07-21,13138857.821089603
2020-07-22,13195951.705104575
2020-07-23,13174936.798545
2020-07-24,13222938.652077138
2020-07-27,13751410.545589346
2020-07-28,13903904.215126347
2020-07-29,13752083.335644722
2020-07-30,13940477.389861125
2020-07-31,13814831.44618209
2020-08-03,13677283.03774395
2020-08-04,13837253.72846399
2020-08-05,13869217.999279324
2020-08-06,13965486.42549879
2020-08-07,13899233.230312131
2020-08-10,13936083.557308158
2020-08-11,13785296.378528072
2020-08-12,13624409.759192385
2020-08-13,13795676.446762146
2020-08-14,13753693.461178478
2020-08-17,13887412.86881511
2020-08-18,13856670.4037553
2020-08-19,13723553.10870236
2020-08-20,13539628.225279521
2020-08-21,13679773.464976488
2020-08-24,13738397.212934922
2020-08-25,13833089.056929542
2020-08-26,13931374.3737978
2020-08-27,13914526.746585736
2020-08-28,13820689.112330204
2020-08-31,13717919.607700042
2020-09-01,13847834.150031382
2020-09-02,13832599.113561876
2020-09-03,13872855.3805151
2020-09-04,13735554.320081182
2020-09-07,13686843.613580436
2020-09-08,13766131.32545889
2020-09-09,13726030.574338086
2020-09-10,13844716.424687244
2020-09-11,13875781.658140164
2020-09-14,13950602.537885942
2020-09-15,13999322.153059661
2020-09-16,14172441.944556946
2020-09-17,14069271.558832834
2020-09-18,14015645.96912092
2020-09-21,13954137.77294641
2020-09-22,13890045.115310809
2020-09-23,13808441.408780897
2020-09-24,13656725.783101626
2020-09-25,13631567.292715881
2020-09-28,13767428.50802251
2020-09-29,13773313.192655966
2020-09-30,13772058.330783911
2020-10-05,13739317.66331499
2020-10-06,13848548.723647878
2020-10-07,13871620.694603499
2020-10-08,14030704.58707932
2020-10-12,14134503.218584085
2020-10-13,14169212.79556407
2020-10-14,14147216.40356105
2020-10-15,14048336.691853985
2020-10-16,13961158.963846665
2020-10-19,14080922.430999635
2020-10-20,13961177.136087889
2020-10-21,13984029.998345645
2020-10-22,13990304.933850165
2020-10-23,13970504.234880114
2020-10-26,13958838.57784728
2020-10-27,13924212.843093414
2020-10-28,13861554.854048336
2020-10-29,13727020.624901
2020-10-30,13625094.873794412
2020-11-02,13702520.412293963
2020-11-03,13799588.408658473
2020-11-04,13971162.380866988
2020-11-05,14015964.92355727
2020-11-06,14015904.300912913
2020-11-09,14041355.739435682
2020-11-10,13917955.417762212
2020-11-11,14022760.897445474
2020-11-12,14053688.119135823
2020-11-13,14123844.307484463
2020-11-16,14426980.469616335
2020-11-17,14442445.490490327
