Date,Open,High,Low,Close,Adj Close,Volume,EMA20,EMA60,MACD,MACD_signal,ATR
2019-05-27,39.840457916259766,40.18348693847656,39.693443298339844,39.9384651184082,32.03726577758789,9568510,39.9384651184082,39.9384651184082,0.0,0.0,
2019-05-28,39.9384651184082,40.085479736328125,39.54643249511719,39.54643249511719,31.72278594970703,89491332,39.90112867809477,39.92561158977571,-0.03127325769843026,-0.006254651539686052,
2019-05-29,39.54643249511719,39.693443298339844,39.49742889404297,39.49742889404297,31.683475494384766,13703052,39.862681079613644,39.91157281286644,-0.059327826548440044,-0.01686928654143685,
2019-05-30,39.49742889404297,39.79145431518555,39.49742889404297,39.693443298339844,31.840715408325195,13980570,39.846563195682805,39.90442102550491,-0.06499532457478097,-0.026494494148105674,
2019-05-31,39.74245071411133,40.281494140625,39.693443298339844,39.98747253417969,32.076576232910156,21671586,39.8599831326825,39.90714402578933,-0.045239660915029845,-0.03024352750149051,
2019-06-03,40.036476135253906,40.3795051574707,39.693443298339844,40.23249053955078,32.27311706542969,9354616,39.89546002857472,39.91781112460118,-0.009700429289729584,-0.02613490785913833,
2019-06-04,40.82054138183594,40.82054138183594,40.42850875854492,40.62452697753906,32.58760070800781,16193449,39.96489497609513,39.940982136172906,0.04952780625952613,-0.011002365035405439,
2019-06-05,40.7225341796875,40.77153778076172,40.281494140625,40.281494140625,32.31243133544922,12958077,39.99504727747893,39.95214646418773,0.06800283223505943,0.004798674418687535,
2019-06-06,40.18348693847656,40.18348693847656,39.840457916259766,39.9384651184082,32.03726577758789,12105153,39.98965850042458,39.95169789547364,0.05433846811044418,0.014706633157038865,
2019-06-10,40.47751235961914,40.62452697753906,40.18348693847656,40.52651596069336,32.50897979736328,17392431,40.04078778235494,39.970544389415274,0.08992356662120216,0.029750019849871523,
2019-06-11,40.575523376464844,41.26158142089844,40.575523376464844,41.26158142089844,33.0986213684082,24543480,40.157053843168605,40.012873472414725,0.17541656009617412,0.058883327899132046,
2019-06-12,41.21257781982422,41.26158142089844,40.91855239868164,41.0655632019043,32.94137954711914,11773998,40.24357854400057,40.04738788977504,0.22476242002038305,0.09205914632338225,
2019-06-13,41.01655960083008,41.01655960083008,40.52651596069336,40.82054138183594,32.74483108520508,14758653,40.29852738569918,40.072737184596704,0.2413164110094499,0.12191059926059578,
2019-06-14,40.7225341796875,40.7225341796875,40.47751235961914,40.47751235961914,32.469669342041016,9986530,40.31557357369156,40.086008501810554,0.22417187897492852,0.14236285520346234,1.7641525268554688
2019-06-17,40.47751235961914,41.0655632019043,40.42850875854492,40.82054138183594,32.74483108520508,9989991,40.36366574589579,40.11009154705729,0.23554902654381493,0.16100008947153288,1.7641525268554688
