Date,Ticker,Action,Amount,Price,Transaction Tax,Profit Tax
2021-03-09,2882.TW,buy,804.4216421917031,43.61623001098633,105.25751811494601,
2021-04-26,TWN,sell,26573.118345584102,31.989999771118164,17.00148099586263,16289.319315738214
2021-12-09,4763.TW,sell,3173.957042199592,88.53854370117188,843.0526028592924,0.0
2021-12-10,4763.TW,buy,4367.416563137552,88.96834564208984,1165.6854790566294,
2022-01-24,TWN,buy,10348.996086504887,33.779998779296875,6.991781503381665,
2022-01-25,TWN,buy,9344.5050663595,33.66999816894531,6.292589369480492,
2022-04-27,00632R.TW,sell,12408.313723617011,5.610000133514404,1.3922128329236012,0.0
2022-07-04,00632R.TW,sell,9306.235292712758,6.230000019073486,1.1595569210220567,0.0
2022-09-26,TWN,buy,13815.335429804463,21.420000076293945,5.918489719208761,
2022-09-27,00632R.TW,sell,6979.676469534568,6.190000057220459,0.8640839549159854,0.0
2022-09-29,00632R.TW,sell,5234.757352150926,6.320000171661377,0.6616733472839902,0.0
2022-09-30,00632R.TW,sell,3926.0680141131943,6.380000114440918,0.5009662875869002,0.0
2022-11-15,TWN,sell,33508.83658266885,23.299999237060547,15.615117336219418,6299.658465368265
2022-11-16,00632R.TW,buy,15228.439053370803,5.809999942779541,1.769544600574122,
2022-12-21,00632R.TW,sell,6751.660773927597,5.929999828338623,0.8007469446078254,81.01985202050548
2023-01-13,2882.TW,sell,4187.915975948703,41.79999923706055,525.1646537985885,0.0
2023-01-16,2882.TW,buy,4389.335866050413,41.75,549.7643172228142,
2023-01-30,00632R.TW,buy,16117.087268266008,5.400000095367432,1.7406454557136335,
2023-04-24,TWN,buy,12994.85753805109,26.1200008392334,6.788513795992259,
2023-04-26,00632R.TW,sell,9093.0173975122,5.360000133514404,0.9747714892942839,0.0
2023-05-29,00632R.TW,buy,15706.285341230317,4.940000057220459,1.5517810096879727,
2023-05-30,TWN,sell,12994.85753805109,28.940000534057617,7.521423681824025,3664.5494291588275
2023-12-18,00632R.TW,buy,18713.494267089336,4.539999961853027,1.6991852651744488,
