Date,Open,High,Low,Close,Adj Close,Volume,EMA20,EMA60,MACD,MACD_signal,High-Low,High-Close,Low-Close,TrueRange,ATR,MiddleBand,UpperBand,LowerBand,K,D
2019-05-27,234.0,235.0,231.0,231.0,200.77597045898438,35562033,231.0,231.0,0.0,0.0,4.0,,,4.0,,,,,,
2019-05-28,232.0,232.0,230.5,230.5,200.3413848876953,95240033,230.95238095238096,230.98360655737704,-0.039886039886056324,-0.007977207977211265,1.5,1.0,0.5,1.5,,,,,,
2019-05-29,228.0,230.5,227.0,229.5,199.47222900390625,26533236,230.8140589569161,230.93496371943024,-0.15045332424253388,-0.03647243123027579,3.5,0.0,3.5,3.5,,,,,,
2019-05-30,230.0,231.5,229.0,231.0,200.77597045898438,28500328,230.83176762768602,230.9370960564981,-0.11570742652475019,-0.052319430289170674,2.5,2.0,0.5,2.5,,,,,,
2019-05-31,232.0,237.5,231.0,235.5,204.68719482421875,46070338,231.276361186954,231.08669946448174,0.2718081050378771,0.012506076776238884,6.5,6.5,0.0,6.5,,,,,,
2019-06-03,235.5,238.5,232.0,238.0,206.86007690429688,31054092,231.91670774057744,231.31336505581018,0.771749810905618,0.16435482360211473,6.5,3.0,3.5,6.5,,,,,,
2019-06-04,237.5,238.0,233.0,233.0,202.5142822265625,24443428,232.01987843195104,231.36866456217706,0.7557867621021899,0.28264121130212977,5.0,0.0,5.0,5.0,,,,,,
2019-06-05,238.0,238.0,234.0,235.0,204.25259399414062,29139584,232.30369953367,231.48772474046632,0.8942113049245961,0.40495523002662304,4.0,5.0,1.0,5.0,,,,,,
2019-06-06,231.5,232.0,229.5,232.0,201.64512634277344,34651731,232.27477576855858,231.50452065061495,0.7531569005270455,0.47459556412670756,2.5,3.0,5.5,5.5,,,,,43.47826086956522,
2019-06-10,237.5,240.0,234.5,240.0,208.59840393066406,35373888,233.01051140964825,231.78306095715214,1.2722378440842306,0.6341240201182121,5.5,8.0,2.5,8.0,,,,,100.0,
2019-06-11,240.0,246.0,239.0,244.5,212.50962829589844,31965670,234.10474841825317,232.20000977822912,2.023401115029742,0.9119794391005182,7.0,6.0,1.0,7.0,,,,,92.10526315789474,78.52784134248665
2019-06-12,244.5,247.5,243.0,246.0,213.81336975097656,29675556,235.23762952127666,232.65246847402486,2.7085187647445537,1.2712873042293253,4.5,3.0,1.5,4.5,,,,,91.89189189189189,94.66571834992887
2019-06-13,242.5,244.0,240.0,240.0,208.59840393066406,32981724,235.69118861448842,232.89337114700763,2.735793062786172,1.5641884559406947,4.0,2.0,6.0,6.0,,,,,58.333333333333336,80.77682946103998
